Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New Orleans Pelicans,6,1440,41.8,90.3,.462,10.0,28.2,.354,31.8,62.1,.511,24.1,30.9,.780,16.2,32.7,48.9,22.8,6.8,3.7,15.5,22.7,117.6
2,Brooklyn Nets,4,960,41.9,83.2,.503,12.3,29.1,.422,29.6,54.1,.547,20.3,27.5,.738,9.1,27.2,36.3,23.7,8.5,6.9,16.3,26.4,116.3
3,Phoenix Suns,13,3120,44.2,88.9,.497,10.6,29.2,.363,33.6,59.8,.563,16.6,20.3,.817,10.2,33.0,43.1,27.6,7.1,4.0,14.3,24.1,115.6
4,Golden State Warriors,22,5280,42.6,88.7,.480,14.4,38.4,.375,28.2,50.3,.561,15.6,20.4,.766,10.1,35.1,45.2,27.8,8.0,5.1,15.0,22.2,115.2
5,Dallas Mavericks,18,4320,39.2,87.3,.449,17.0,44.8,.380,22.1,42.5,.521,19.4,25.2,.771,7.0,32.4,39.4,20.7,7.7,3.0,11.0,22.8,114.9
6,Denver Nuggets,5,1200,40.7,85.5,.476,11.6,32.4,.357,29.1,53.1,.549,20.6,26.0,.794,11.6,31.6,43.2,25.8,7.2,3.5,16.9,25.8,113.6
7,Philadelphia 76ers,12,2905,39.1,84.1,.465,13.3,35.8,.373,25.8,48.3,.534,20.7,24.4,.849,8.2,33.7,41.9,23.4,6.5,4.7,15.9,22.1,112.3
8,Toronto Raptors,6,1465,41.3,92.7,.446,10.6,35.4,.299,30.7,57.3,.536,18.0,22.6,.794,10.8,29.6,40.4,22.3,7.2,5.2,10.8,23.9,111.2
9,Boston Celtics,24,5760,38.5,85.8,.449,14.3,38.4,.373,24.2,47.3,.511,19.4,24.3,.797,9.4,35.6,45.0,25.7,6.7,6.6,15.4,21.7,110.7
10,Miami Heat,18,4320,40.3,90.6,.445,11.6,36.9,.313,28.8,53.7,.536,18.4,22.9,.804,10.4,33.1,43.6,23.2,8.8,3.9,13.7,22.8,110.6
11,Memphis Grizzlies,12,2880,38.9,89.5,.435,12.8,35.1,.365,26.1,54.4,.480,19.5,26.5,.735,12.2,32.7,44.9,24.7,9.0,6.0,13.7,20.3,110.2
12,Utah Jazz,6,1440,38.5,86.8,.443,9.0,32.8,.274,29.5,54.0,.546,22.9,29.1,.786,10.3,39.0,49.3,18.9,4.4,4.0,13.0,24.2,108.8
13,Minnesota Timberwolves,6,1440,35.4,79.9,.443,13.5,34.8,.388,21.9,45.2,.486,22.1,27.3,.810,6.8,32.2,39.0,22.3,8.0,7.6,17.2,26.2,106.4
14,Milwaukee Bucks,12,2880,39.1,89.4,.438,10.7,32.8,.327,28.4,56.5,.501,15.4,21.1,.731,9.9,41.3,51.2,21.2,6.4,4.6,14.0,19.5,104.4
15,Atlanta Hawks,5,1200,36.1,82.1,.440,12.0,36.8,.326,24.2,45.4,.532,18.1,23.1,.782,9.0,32.4,41.4,19.5,6.1,2.5,17.2,22.7,102.3
16,Chicago Bulls,5,1200,36.3,89.9,.404,10.4,36.7,.283,25.9,53.2,.487,12.0,14.4,.833,8.2,35.7,43.9,22.9,7.8,3.2,13.0,18.5,94.9
